PostingID,drug_cui
2544,C3709474
2630,C0289313
2745,C2983812
2746,C2983812
2747,C2983812
2748,C2983812
2749,C2983812
2750,C0257343
2750,C1509436
2751,C0257343
2751,C1509436
2757,C0062086
2757,C0062527
2757,C0305062
2758,C0062086
2758,C0062527
2758,C0305062
2767,C0305062
2767,C0718003
281,C0216660
2815,C0289313
2816,C0289313
2817,C0289313
2818,C0289313
2819,C0289313
282,C0216660
2820,C0289313
2821,C0289313
2822,C0289313
2823,C0289313
2824,C0289313
2825,C0061323
2825,C0289313
2826,C0061323
2826,C0289313
2827,C0061323
2827,C0289313
2828,C0025598
2828,C0289313
2829,C0025598
2829,C0289313
283,C0216660
284,C0216660
285,C0216660
286,C0216660
287,C0216660
288,C0216660
289,C0216660
290,C0216660
291,C0216660
292,C0216660
293,C0216660
2937,C2607479
2938,C2607479
2939,C0085208
294,C0216660
2940,C0054836
295,C0216660
2951,C2935023
2953,C0754659
2954,C0117996
2955,C0117996
2956,C0117996
2957,C0117996
2958,C0117996
2959,C0117996
296,C0005088
296,C0055881
2960,C0117996
2961,C0073992
2961,C0117996
2962,C0073992
2962,C0117996
2963,C0073992
2963,C0117996
2964,C0073992
2964,C0117996
2965,C0073992
2965,C0117996
2966,C0073992
2966,C0117996
2967,C0073992
2967,C0117996
2968,C0073992
2968,C0117996
2969,C0540623
297,C0530684
2970,C0530684
2971,C0530684
2972,C0530684
2973,C0530684
2974,C0530684
2975,C0530684
2976,C0530684
2977,C0289313
2979,C0289313
298,C0530684
2980,C0289313
2981,C0289313
2982,C0289313
2983,C0289313
2984,C0289313
2985,C0289313
2986,C0289313
2987,C0289313
2987,C1620263
2988,C0289313
2988,C1620263
2989,C0073992
299,C0530684
2990,C0073992
2991,C0073992
2992,C0073992
2993,C0073992
2994,C0073992
2995,C0073992
2996,C0073992
2997,C0073992
2998,C0073992
2999,C0073992
3,C1723401
3000,C0073992
3001,C0073992
3002,C0075632
3003,C0075632
3004,C0075632
3005,C0075632
3006,C0075632
3007,C0075632
3008,C0075632
3009,C0075632
3010,C0075632
3011,C0075632
3012,C0075632
3013,C0216660
3085,C1176315
3086,C1176315
3087,C1176315
312,C2347566
3123,C2607479
3124,C2607479
3125,C2607479
3126,C2607479
3127,C2607479
3128,C0010980
3128,C0052432
3129,C0010980
3129,C0052432
3130,C0010980
3130,C0052432
3131,C2347566
3132,C2347566
3135,C0754659
3139,C1948374
3139,C2935023
3140,C0117996
3141,C0073992
3141,C0117996
3142,C0073992
3142,C0117996
3146,C0070122
3147,C0070122
3148,C0070122
3149,C0070122
3150,C0070122
3151,C0070122
3152,C0070122
3153,C0070122
3154,C0070122
3155,C0070122
3156,C0070122
3157,C0530684
3158,C0289313
3159,C0061323
3159,C0289313
3162,C0070122
3163,C0070122
3164,C0070122
3165,C0216660
3166,C0216660
3167,C0216660
3168,C0216660
3169,C0216660
32,C1948374
320,C0064636
321,C0064636
3215,C3492889
3216,C3492889
3217,C1120386
3218,C1698215
3219,C0085149
322,C0064636
3220,C0085149
3222,C0010980
3222,C0052432
323,C0064636
324,C0064636
3249,C0062086
3249,C0062527
3249,C0305062
325,C0530684
3250,C0062086
3250,C0062527
3250,C0305062
326,C0244821
3263,C0117996
3264,C0073992
3264,C0117996
3265,C0073992
3265,C0117996
3266,C0073992
3266,C0117996
327,C0289313
328,C0288792
329,C0288792
33,C1948374
330,C0288792
331,C0288792
332,C0054836
3342,C0070122
3343,C0070122
3344,C0070122
3355,C0075632
3357,C0216660
3384,C0005088
3384,C0036079
3385,C0065767
3386,C0054836
3387,C0054836
3388,C0054836
34,C1948374
3406,C0754659
3407,C0754659
3408,C0754659
3409,C0754659
3410,C1948374
3411,C1948374
3412,C1948374
3413,C1948374
3414,C1948374
3415,C1948374
3416,C1948374
3417,C1948374
